"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Peru","PER","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45000","46000","10000","2700","184000","28000","950","8400","17000","295000","8600","10000","8000","",
"Peru","PER","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","5.0880626223092","3.59017425992022","4.84975275770255","4.42873092668403","5.09592326139089","5.42240862792091","4.79425212279556","3.39793281653747","4.14543770264011","4.94773599740993","4.88147045350435","7.75969122335962","7.03032481813568","6.41280468668271","9.12306771781941","10.7734122187268","10.732598002683","11.3671000069273","10.5547544964711","14.5935370817824","12.9199217253131","8.15829921977755","10.0568057230567","7.3512922087244","7.78995661626291","9.58041441876694","10.0962267917748","11.6918364056538","10.0521052220516","11.9464060415758","11.5931341502313","12.0971935150255","13.448926058157","13.3581750300539","13.5512435428718","10.8464855496593","12.0366646861522","12.6590067585933","13.0148610943469","11.4214914915447","11.893437137739","12.292853445698","10.9579996981491","10.1060238256207","11.2751157569775","10.7424481079892","10.8516528026673","10.1537318701334","10.1489749719904","10.0375317303672","10.6500569998306","10.1780780714535","10.5372215803526","12.318810032091","14.9341031960018","13.1296483189961","13.2430397007159","12.073061827719","10.6736200851708","10.5401125750261","10.0656541989882","",
"Peru","PER","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65289443241126","7.65289443241126","7.65289443241126","7.27443341960077","6.57087340218358","6.13590574047421","6.29164991645957","7.06974052561154","12.2691394149459","7.79888626078036","7.74227667913477","8.82030383450123","6.88151620693206","7.08852212301332","6.09967509134519","5.31372105135566","3.65983870429399","3.74399640175034","4.78018165233469","6.19061615981033","5.24840623191797","5.14726253519043","5.73936892172723","6.15402655784233","6.81430321448782","7.16285005139425","5.68293228133049","4.63205478331085","4.83874997178455","5.07638069320123","","",
"Peru","PER","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","2.11796246648794","1.92061459667093","1.73281162660704","2.08295923864249","1.48583275742916","1.59143915489093","1.34605971610377","1.4384066879764","2.31709252499603","2.02901440749788","1.37506463288521","1.15722902771504","1.01303911735206","0.694146550715595","0.812880731788533","1.50883741718154","0.565612625597744","0.976037039354314","1.82471213775133","0.872532503995508","0.919776411792362","0.705021987126378","0.857507201424837","0.757210249812373","0.721247563352826","0.818531240821851","1.02508668588378","1.42350441659728","0.574128032275306","1.76123963334788","1.28224335365558","2.64003835355956","2.6660395329296","3.80337163863953","3.3462554078091","4.34021916528186","2.47666991657632","2.47603232302419","3.02439459360345","3.26323075300842","7.97529457417615","10.3047976483793","5.30824437699311","5.81013689631841","5.34204269086165","16.4332336612442","16.7881509425109","20.9117292191263","22.0724974078159","23.285015549931","25.7609304179929","26.6207177797379","27.7890843458146","28.8623402016436","29.4096113466543","31.2052867989778","31.0828666806132","30.2192477643073","30.9384185869813","33.3147656095475","30.5067996928237","",
"Peru","PER","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.17","","16.27","","14.24","14.25","14.15","15.54","12.58","12.58","12.4","11.04","10.74","9.22","9.09","5.66","3.49","3.7","1.83","","1.8","1.75","1.76","","0.54","0.44","0.41","0.36","",
"Peru","PER","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.89","","16.23","","13.1","13.03","12.98","12.97","11.79","10.11","9.44","9.65","9.06","8.5","8.43","4.6","4.62","4.82","3.22","","2.96","2.89","2.89","","1.45","1.32","1.34","1.2","",
"Peru","PER","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7","","","","","","21.6","","","","17.7","","","","14.4","","","","","12.3","12.3","","12.6","11.1","10.5","9.7","9.5","9","8.6","6.5","6","6.5","6.3","","","",
"Peru","PER","Population, female","SP.POP.TOTL.FE.IN","5060097","5205996","5357579","5514221","5675015","5839331","6006840","6177749","6352503","6531769","6716009","6905282","7099283","7297565","7499522","7704650","7912777","8123874","8337803","8554487","8773806","8995292","9218746","9444655","9673768","9906381","10142771","10382088","10622089","10859786","11093042","11320005","11540980","11758536","11976517","12197179","12421934","12648382","12870300","13079204","13269175","13438634","13589979","13726371","13852761","13973343","14089686","14202697","14315467","14431447","14553781","14681706","14816488","14965316","15137234","15337374","15570375","15831044","16102678","16362221","16593240","",
"Peru","PER","Population ages 65 and above, total","SP.POP.65UP.TO","347073","359902","372458","384569","396036","406785","419108","430697","441982","453469","465476","481564","497822","514178","530578","547017","565601","584277","602809","620740","637894","658875","678762","698274","718381","739676","767093","795415","824508","854149","884335","917448","951263","986239","1023123","1062444","1105103","1149688","1195497","1241402","1286688","1338557","1388270","1436192","1482885","1529026","1581967","1635317","1689724","1745831","1804260","1872433","1946993","2030068","2124331","2232165","2337308","2456052","2587417","2728759","2876880","",
"Peru","PER","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.28394949741082","4.2648323202707","4.26662863954036","4.28040515605015","4.294931379036","4.30393481719053","4.29596926170832","4.28694982589937","4.28015539701437","4.28127510326835","4.29289180523731","4.30760105090567","4.33159235939742","4.35885120584743","4.38201261360391","4.39707189813943","4.39821569595605","4.39722477231922","4.3932316462742","4.38555812873408","4.3746693282254","4.35889129557996","4.34241273162315","4.32945406687698","4.32568777750304","4.33430735199868","4.34983694298136","4.37595019421912","4.41576040268539","4.47381743986484","4.55166400704153","4.64674706415766","4.76213458475797","4.88690939076089","5.00609651370261","5.1113950201108","5.2059365313002","5.28784630318724","5.36308399959597","5.44114152512645","5.52696757711011","5.59777876233552","5.67465188871889","5.75636488333297","5.83680755049481","5.91137711283549","6.00410115598034","6.08535829497735","6.1576684854221","6.22518310187468","6.28945838885442","6.3424441274059","6.40642370850636","6.47459766302295","6.5338951620884","6.5751151403102","6.58023329560142","6.58599647629051","6.6105153440937","6.66602657426519","6.75135778184369","",
